2026-01-27 15:35:28,052 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-01-27 15:35:28,052 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:35:38,152 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:35:38,161 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-01-27 15:35:39,321 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-01-27 15:37:58,808 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-01-27 15:37:58,809 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:38:08,862 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:38:08,863 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-01-27 15:38:10,103 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-01-27 15:38:54,842 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-01-27 15:38:54,845 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:39:04,889 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:39:04,895 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-01-27 15:39:05,907 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-01-27 15:42:50,122 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-01-27 15:42:50,124 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:43:00,191 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-01-27 15:43:00,201 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-01-27 15:43:01,200 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-01-27 15:44:15,371 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2026-01-27 15:48:18,757 | MainThread   | [DEBUG   ] | <module>            |: debug
2026-01-27 15:48:18,767 | MainThread   | [INFO    ] | <module>            |: info
2026-01-27 15:48:18,770 | MainThread   | [WARNING ] | <module>            |: warning
2026-01-27 15:48:18,771 | MainThread   | [ERROR   ] | <module>            |: error
2026-01-27 15:48:18,773 | MainThread   | [CRITICAL] | <module>            |: critical
2026-02-02 19:44:39,320 | MainThread   | [DEBUG   ] | <module>            |: debug
2026-02-02 19:44:39,324 | MainThread   | [INFO    ] | <module>            |: info
2026-02-02 19:44:39,337 | MainThread   | [WARNING ] | <module>            |: warning
2026-02-02 19:44:39,338 | MainThread   | [ERROR   ] | <module>            |: error
2026-02-02 19:44:39,338 | MainThread   | [CRITICAL] | <module>            |: critical
2026-02-02 19:44:46,645 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=11, releaselevel='final', serial=0)
2026-02-02 19:44:46,647 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-26.2-arm64-arm-64bit-Mach-O
2026-02-02 19:44:46,660 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-02-02 19:44:46,665 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-02-02 19:44:56,926 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-02-02 19:44:56,937 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-02-02 19:44:58,058 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-02-02 19:46:38,711 | MainThread   | [DEBUG   ] | <module>            |: debug
2026-02-02 19:46:38,716 | MainThread   | [INFO    ] | <module>            |: info
2026-02-02 19:46:38,721 | MainThread   | [WARNING ] | <module>            |: warning
2026-02-02 19:46:38,726 | MainThread   | [ERROR   ] | <module>            |: error
2026-02-02 19:46:38,731 | MainThread   | [CRITICAL] | <module>            |: critical
2026-02-02 19:46:43,598 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-02-02 19:46:43,599 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-02-02 19:46:53,717 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-02-02 19:46:53,730 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-02-02 19:46:54,607 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-02-02 20:15:15,163 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-02-02 20:15:15,180 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-02-02 20:15:25,327 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-02-02 20:15:25,337 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-02-02 20:15:26,259 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-02-02 20:19:23,340 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-02-02 20:19:23,352 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-02-02 20:19:33,456 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-02-02 20:19:33,467 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-02-02 20:19:34,392 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-02-02 20:19:48,029 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2026-02-02 20:25:41,018 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2026-02-02 20:25:41,025 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2026-02-02 20:25:41,025 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2026-02-02 20:26:23,127 | MainThread   | [DEBUG   ] | <module>            |: debug
2026-02-02 20:26:23,129 | MainThread   | [INFO    ] | <module>            |: info
2026-02-02 20:26:23,132 | MainThread   | [WARNING ] | <module>            |: warning
2026-02-02 20:26:23,134 | MainThread   | [ERROR   ] | <module>            |: error
2026-02-02 20:26:23,135 | MainThread   | [CRITICAL] | <module>            |: critical
2026-02-02 20:26:25,849 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=11, releaselevel='final', serial=0)
2026-02-02 20:26:25,850 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-26.2-arm64-arm-64bit-Mach-O
2026-02-02 20:26:25,850 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
2026-02-02 20:26:25,851 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:2b:64, service UUID: 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-02-02 20:26:35,995 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 15bb5de7-5941-4ba2-bda0-784bb8817a1b
2026-02-02 20:26:36,002 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 38645F53-E5BF-2155-7DF0-DBDE5B0B8B54 (name: Artemis BLE)
2026-02-02 20:26:36,878 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:2b:64
2026-02-02 21:11:36,522 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:2b:64
